idx,scale/mm,translate_x/mm,translate_y/mm,translate_z/mm,rotate/deg
1,80.64302293,182.88,0.0,0.0,14.994316
2,91.45079567,228.6,0.0,0.0,13.895447
3,104.5,274.32,0.0,0.0,12.816
4,117.5492043,320.03999999999996,0.0,0.0,11.736553
5,128.3569771,365.76,0.0,0.0,10.637684
6,134.6818859,411.48,0.0,0.0,9.499974
7,134.2825,457.2,0.0,0.0,8.304
8,126.1831557,502.92,0.0,0.0,7.036263
9,114.4712626,548.64,0.0,0.0,5.706947
10,104.5,594.36,0.0,0.0,4.332158
11,99.97396131,640.0799999999999,0.0,0.0,2.928
12,98.00340351,685.8,0.0,0.0,1.508263
13,94.05,731.52,0.0,0.0,0.077474
14,93.37190538,736.092,0.0220495,0.0,-0.066128
15,92.63022969,740.664,0.08569,0.0,-0.209816
16,84.60352656,777.24,1.6265425,0.0,-1.362158
17,70.26617293,822.96,3.929409,0.0,-2.808421
18,66.10868485,834.39,4.1579505,0.0,-3.170764
19,61.77288318,845.82,4.05042,0.0,-3.533349
20,57.28424178,857.25,3.2588325,0.0,-3.896141
21,52.66823317,868.68,1.747449,0.0,-4.259105
22,43.15601029,891.54,-3.4343925,0.0,-4.985414
23,41.22258982,896.112,-4.816196,0.0,-5.130718
24,39.28264856,900.684,-6.3131585,0.0,-5.276031
25,37.33781604,905.256,-7.92528,0.0,-5.42135
26,33.44,914.4,-11.495,0.0,-5.712
