idx,scale/m,translate_x/m,translate_y/m,translate_z/m,rotate/deg
1,0.07094402706,0.16,0,0,15.004421
2,0.08028592338,0.2,0,0,13.901763
3,0.0914,0.24,0,0,12.816
4,0.1025140766,0.28,0,0,11.730237
5,0.1118559729,0.32,0,0,10.627579
6,0.1176535075,0.36,0,0,9.491132
7,0.1181345,0.4,0,0,8.304
8,0.1124267637,0.44000000000000006,0,0,7.051184
9,0.1032580863,0.48,0,0,5.725263
10,0.09425625,0.52,0,0,4.320711
11,0.08802112594,0.56,0,0,2.832
12,0.08304093817,0.6,0,0,1.257018
13,0.076776,0.64,0,0,-0.392702
14,0.07598164946,0.644,0.0000078604,0,-0.561209
15,0.07515001114,0.648,0.0000305276,0,-0.730299
16,0.0672692575,0.68,0.000571707,0,-2.102211
17,0.05489418706,0.72,0.0013240204,0,-3.856561
18,0.05146428724,0.73,0.001371,0,-4.300404
19,0.04792981325,0.74,0.0010819018,0,-4.745882
20,0.04430570385,0.75,0.0002145158,0,-5.19276
21,0.04060689838,0.76,-0.0012310666,0,-5.640807
22,0.03304495594,0.78,-0.0058570948,0,-6.539469
23,0.03151440124,0.784,-0.0070598274,0,-6.719486
24,0.0299800226,0.788,-0.0083550568,0,-6.899562
25,0.02844277514,0.792,-0.0097428744,0,-7.079683
26,0.0253635,0.8,-0.012796,0,-7.44
