idx,scale/m,translate_x/m,translate_y/m,translate_z/m,rotate/deg
1,0.07064575287,0.16,0,0,14.931158
2,0.08009950165,0.2,0,0,13.843974
3,0.0914,0.24,0,0,12.816
4,0.1027004983,0.28,0,0,11.788026
5,0.1121542471,0.32,0,0,10.700842
6,0.1179144973,0.36,0,0,9.495237
7,0.1181345,0.4,0,0,8.112
8,0.1119103565,0.44000000000000006,0,0,6.516632
9,0.1021095711,0.48,0,0,4.773474
10,0.0925425,0.52,0,0,2.971579
11,0.0859676787,0.56,0,0,1.2
12,0.08093636519,0.6,0,0,-0.470368
13,0.074948,0.64,0,0,-2.041263
14,0.07420081471,0.644,0,0,-2.193648
15,0.07341991768,0.648,0,0,-2.345256
16,0.06606284891,0.68,0,0,-3.532579
17,0.05458448787,0.72,0,0,-4.964211
18,0.05141100618,0.73,0,0,-5.315124
19,0.04814297976,0.74,-0.0000216618,0,-5.663862
20,0.04479391581,0.75,-0.000194682,0,-6.010734
21,0.0413773204,0.76,-0.0005408138,0,-6.356053
22,0.0343955606,0.78,-0.0017523208,0,-7.04327
23,0.03298278509,0.784,-0.0020776134,0,-7.180335
24,0.0315665518,0.788,-0.0024306916,0,-7.317321
25,0.03014772503,0.792,-0.002811464,0,-7.454247
26,0.02730575,0.8,-0.003656,0,-7.728
