idx,scale/mm,translate_x/mm,translate_y/mm,translate_z/mm,rotate/deg
1,70.17047287,160.0,0.0,0.0,15.534316
2,79.80245165,200.0,0.0,0.0,14.322947
3,91.4,240.0,0.0,0.0,13.104
4,102.9975483,280.0,0.0,0.0,11.885053
5,112.6295271,320.0,0.0,0.0,10.673684
6,118.3303673,360.0,0.0,0.0,9.477474
7,118.1345,400.0,0.0,0.0,8.304
8,111.1463199,440.00000000000006,0.0,0.0,7.153263
9,100.7500812,480.0,0.0,0.0,5.994947
10,91.4,520.0,0.0,0.0,4.791158
11,86.23307688,560.0,0.0,0.0,3.504
12,83.11743997,600.0,0.0,0.0,2.105263
13,78.604,640.0,0.0,0.0,0.605474
14,77.94376353,644.0,0.0,0.0,0.450715
15,77.23626984,648.0,0.0,0.0,0.295168
16,70.02046891,680.0,0.0,0.0,-0.975158
17,57.80176787,720.0,0.0,0.0,-2.616421
18,54.32109649,730.0,0.0,0.0,-3.033842
19,50.70789226,740.0,-0.0906688,0.0,-3.453474
20,46.98108925,750.0,-0.6445528,0.0,-3.875
21,43.1596204,760.0,-1.7021422,0.0,-4.298105
22,35.3084181,780.0,-5.3278888,0.0,-5.147789
23,33.71515501,784.0,-6.2948094,0.0,-5.31811
24,32.11704486,788.0,-7.3422534,0.0,-5.488512
25,30.51529927,792.0,-8.4702208,0.0,-5.658974
26,27.30575,800.0,-10.968,0.0,-6.0
