x,y,z
0,1,0
0,0.999614518,-5.45E-05
0,0.998458667,-0.000217631
0,0.996534228,-0.000488781
0,0.99384417,-0.000866739
0,0.99039264,-0.001349876
0,0.98618496,-0.001936126
0,0.981227618,-0.002623008
0,0.975528258,-0.003407654
0,0.969095668,-0.00428683
0,0.961939766,-0.005256973
0,0.954071587,-0.006314221
0,0.945503262,-0.007454442
0,0.936248004,-0.008673272
0,0.926320082,-0.009966143
0,0.915734806,-0.011328314
0,0.904508497,-0.012754901
0,0.892658465,-0.0142409
0,0.880202983,-0.015781211
0,0.867161255,-0.017370656
0,0.853553391,-0.019003991
0,0.839400373,-0.020675923
0,0.824724024,-0.022381107
0,0.809546975,-0.024114156
0,0.793892626,-0.025869637
0,0.777785117,-0.027642066
0,0.761249282,-0.029425898
0,0.744310621,-0.031215523
0,0.72699525,-0.033005247
0,0.709329869,-0.034789288
0,0.691341716,-0.036561756
0,0.673058529,-0.038316647
0,0.654508497,-0.040047831
0,0.635720225,-0.041749048
0,0.616722682,-0.043413899
0,0.597545161,-0.045035854
0,0.578217233,-0.04660825
0,0.558768699,-0.048124308
0,0.539229548,-0.049577145
0,0.519629908,-0.050959798
0,0.5,-0.052265252
0,0.480370092,-0.053486476
0,0.460770452,-0.054616459
0,0.441231301,-0.05564826
0,0.421782767,-0.056575054
0,0.402454839,-0.057390188
0,0.383277318,-0.058087237
0,0.364279775,-0.058660067
0,0.345491503,-0.059102887
0,0.326941471,-0.059410319
0,0.308658284,-0.05957745
0,0.290670131,-0.059599889
0,0.27300475,-0.059473821
0,0.255689379,-0.059196054
0,0.238750718,-0.058764057
0,0.222214883,-0.058175994
0,0.206107374,-0.057430753
0,0.190453025,-0.056527953
0,0.175275976,-0.05546796
0,0.160599627,-0.054251871
0,0.146446609,-0.05288151
0,0.132838745,-0.051359393
0,0.119797017,-0.049688695
0,0.107341535,-0.047873203
0,0.095491503,-0.045917259
0,0.084265194,-0.043825696
0,0.073679918,-0.04160376
0,0.063751997,-0.039257036
0,0.054496738,-0.03679136
0,0.045928413,-0.034212727
0,0.038060234,-0.031527204
0,0.030904332,-0.028740834
0,0.024471742,-0.025859544
0,0.018772382,-0.02288906
0,0.01381504,-0.019834815
0,0.00960736,-0.016701878
0,0.00615583,-0.013494873
0,0.003465772,-0.010217923
0,0.001541333,-0.006874591
0,0.000385482,-0.00346784
0,0,0
0,0.000385482,0.00346784
0,0.001541333,0.006874591
0,0.003465772,0.010217923
0,0.00615583,0.013494873
0,0.00960736,0.016701878
0,0.01381504,0.019834815
0,0.018772382,0.02288906
0,0.024471742,0.025859544
0,0.030904332,0.028740834
0,0.038060234,0.031527204
0,0.045928413,0.034212727
0,0.054496738,0.03679136
0,0.063751997,0.039257036
0,0.073679918,0.04160376
0,0.084265194,0.043825696
0,0.095491503,0.045917259
0,0.107341535,0.047873203
0,0.119797017,0.049688695
0,0.132838745,0.051359393
0,0.146446609,0.05288151
0,0.160599627,0.054251871
0,0.175275976,0.05546796
0,0.190453025,0.056527953
0,0.206107374,0.057430753
0,0.222214883,0.058175994
0,0.238750718,0.058764057
0,0.255689379,0.059196054
0,0.27300475,0.059473821
0,0.290670131,0.059599889
0,0.308658284,0.05957745
0,0.326941471,0.059410319
0,0.345491503,0.059102887
0,0.364279775,0.058660067
0,0.383277318,0.058087237
0,0.402454839,0.057390188
0,0.421782767,0.056575054
0,0.441231301,0.05564826
0,0.460770452,0.054616459
0,0.480370092,0.053486476
0,0.5,0.052265252
0,0.519629908,0.050959798
0,0.539229548,0.049577145
0,0.558768699,0.048124308
0,0.578217233,0.04660825
0,0.597545161,0.045035854
0,0.616722682,0.043413899
0,0.635720225,0.041749048
0,0.654508497,0.040047831
0,0.673058529,0.038316647
0,0.691341716,0.036561756
0,0.709329869,0.034789288
0,0.72699525,0.033005247
0,0.744310621,0.031215523
0,0.761249282,0.029425898
0,0.777785117,0.027642066
0,0.793892626,0.025869637
0,0.809546975,0.024114156
0,0.824724024,0.022381107
0,0.839400373,0.020675923
0,0.853553391,0.019003991
0,0.867161255,0.017370656
0,0.880202983,0.015781211
0,0.892658465,0.0142409
0,0.904508497,0.012754901
0,0.915734806,0.011328314
0,0.926320082,0.009966143
0,0.936248004,0.008673272
0,0.945503262,0.007454442
0,0.954071587,0.006314221
0,0.961939766,0.005256973
0,0.969095668,0.00428683
0,0.975528258,0.003407654
0,0.981227618,0.002623008
0,0.98618496,0.001936126
0,0.99039264,0.001349876
0,0.99384417,0.000866739
0,0.996534228,0.000488781
0,0.998458667,0.000217631
0,0.999614518,5.44673E-05
0,1,0
