idx,scale/m,translate_x/m,translate_y/m,translate_z/m,rotate/deg
1,0.08064302293,0.18288,0,0,14.994316
2,0.09145079567,0.2286,0,0,13.895447
3,0.1045,0.27432,0,0,12.816
4,0.1175492043,0.32003999999999996,0,0,11.736553
5,0.1283569771,0.36576,0,0,10.637684
6,0.1346818859,0.41148,0,0,9.499974
7,0.1342825,0.4572,0,0,8.304
8,0.1261831557,0.50292,0,0,7.036263
9,0.1144712626,0.54864,0,0,5.706947
10,0.1045,0.59436,0,0,4.332158
11,0.09997396131,0.6400799999999999,0,0,2.928
12,0.09800340351,0.6858,0,0,1.508263
13,0.09405,0.73152,0,0,0.077474
14,0.09337190538,0.736092,0.0000220495,0,-0.066128
15,0.09263022969,0.740664,0.00008569,0,-0.209816
16,0.08460352656,0.77724,0.0016265425,0,-1.362158
17,0.07026617293,0.82296,0.003929409,0,-2.808421
18,0.06610868485,0.83439,0.0041579505,0,-3.170764
19,0.06177288318,0.84582,0.00405042,0,-3.533349
20,0.05728424178,0.85725,0.0032588325,0,-3.896141
21,0.05266823317,0.86868,0.001747449,0,-4.259105
22,0.04315601029,0.89154,-0.0034343925,0,-4.985414
23,0.04122258982,0.896112,-0.004816196,0,-5.130718
24,0.03928264856,0.900684,-0.0063131585,0,-5.276031
25,0.03733781604,0.905256,-0.00792528,0,-5.42135
26,0.03344,0.9144,-0.011495,0,-5.712
